Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
2,2,chercher,search
5,6,aide,help
7,8,frère,brother
8,9,laisser,let
9,10,car,because
10,11,mettre,to put
12,13,eux,them
13,14,ville,city
14,15,chaque,each
17,18,devrait,should
20,21,heures,hours
21,22,vont,will
22,23,pendant,while
24,25,aucune,any
25,26,place,square
26,27,parle,speak
27,28,compris,understood
31,32,voici,here is
32,33,pourrais,could
34,36,type,type
35,37,leurs,their
36,38,donné,given
37,39,corps,body
38,40,endroit,place
39,41,yeux,eyes
40,42,façon,way
41,43,écoute,listen
42,44,dont,whose
43,45,premier,first
44,46,perdu,lost
45,47,main,hand
46,48,côté,side
47,49,pouvoir,power
49,52,tiens,here
50,53,matin,morning
51,54,tellement,so much
52,55,enfant,child
53,57,venu,came
56,60,venez,come
57,61,devant,in front of
58,62,vers,towards
60,64,demandé,request
61,65,chambre,bedroom
62,66,mis,placed
64,68,aimerais,would like to
65,70,mari,husband
67,72,enfin,finally
68,73,espère,hope
70,75,parti,left
73,78,dirait,would say
74,79,compte,account
75,80,loin,far
76,81,fin,end
77,82,croire,believe
79,86,aura,will have
81,88,bureau,office
